Year,AGI_ann,AGI_ann2,AGI_annDMUI,AGI_annSTDMUI,DMUI_Ratio_ST
1960,1036392252,1036388291,829375051.2721611,848186356.5212702,0.8184028343365791
1961,1084611063,1084618831,864605840.641346,870202172.0726619,0.8023172561652747
1962,1124475331,1124466655,883681494.9204725,896773654.7031574,0.7975040714371683
1963,1219949960,1219935812,977143857.2053547,972033624.9096949,0.796781553982505
1964,1366110763,1366101844,1096915837.5663226,1068391879.7658501,0.7820682690616134
1965,1451318558,1451316540,1136230339.9833918,1111316519.8377492,0.7657288702827634
1966,1619784000,1619812911,1229873711.5330572,1235815182.4877968,0.762950604826197
1967,1754166000,1754206335,1326462432.983563,1316499252.3904786,0.7504986713859911
1968,1974704000,1974709052,1483656717.142105,1457311109.7262774,0.7379896479301593
1969,2302840358,2302879892,1852876984.8423471,1668341373.8014917,0.7244711375696203
1970,2533834000,2533778869,1900596956.6703632,1842285730.5509982,0.7270743586797708
1971,2708686000,2708691757,2197327368.3654985,1950336989.498948,0.720030667821574
1972,2946052000,2946031275,2376663331.7358217,2105184084.4407897,0.7145780469729623
1973,3238994000,3238973491,2597194189.4140778,2307716772.4642015,0.7124794835878675
1974,3555331000,3555420849,2835131051.3281846,2586494161.677995,0.7274974289814352
1975,3856905000,3856932116,3050781688.1864796,2836188715.0122375,0.7353535321746938
1976,4116634729,4116594191,3220111594.185395,3042106132.3099246,0.7389788826488629
1977,4554712000,4554671597,3351990466.831999,3345054224.893719,0.7344161880913039
1978,5046631000,5046568579,4217977385.9664845,3629540693.5117087,0.7192007288648028
1979,5251997000,5251954826,4265406909.9600925,3891217929.150296,0.7409025422425596
1980,6266234000,6266192341,4526580495.321508,4682185731.288745,0.7472088867553853
1981,6633508000,6633555706,4837738325.39849,5143260173.595187,0.7753454391846949
1982,6751111000,6751076822,5066362175.343198,5303497104.294971,0.7855739750531389
1983,6928444000,6928357639,5189322166.977314,5451632090.286168,0.7868479690802391
1984,7437570000,7437566217,5478525018.771133,5766881733.885481,0.7753717590403157
1985,7876843000,7876802271,5766713402.948909,6070950400.547523,0.7707339603629935
1986,8171627000,8171676472,5964725895.73668,6246477333.194165,0.7644104819265692
1987,9969299000,9969302224,6831337164.383992,7254411846.747279,0.7276752203687821
1988,11334516000,11334498934,7589909157.561023,8015176204.524735,0.7071476368752522
1989,12894201674,12894147727,8590718675.161184,8953309721.601027,0.6943671231429993
1990,13759912056,13759960223,9260150110.468111,9617112712.603617,0.698922542052882
1991,14443457347,14443388519,10022317886.229464,10307552949.898394,0.7136485885797516
1992,15061889842,15061843548,10526410929.917982,10658986568.875612,0.7076792275530448
1993,15097652503,15097676557,10761356542.855764,10851091808.69191,0.7187270873094826
1994,15718798650,15718831957,11224736302.106106,11271460136.105036,0.7170688032259409
1995,15074079371,15074008217,10938855311.925175,11088214689.677464,0.7355815514020265
1996,15689693302,15689695585,11150561992.977875,11404998139.986048,0.726910202797414
1997,16573666392,16573602103,11584962446.042532,11747765440.700382,0.7088211601972966
1998,17236142525,17236148206,11854782361.272188,12020329403.877106,0.6973909264466995
1999,19047641910,19047615545,12794275384.352058,12845614216.641773,0.6743939369155104
2000,19047641910,19047615545,12794275384.352058,13002175091.204672,0.682613372964479
2001,18769699607,18769682256,12869514626.393307,13188734327.761469,0.7026609164721445
2002,19025873093,19025865841,13079454404.400229,13337086824.398006,0.7009973607626442
2003,19794992202,19794953512,13646140146.03944,13835924755.176092,0.6989608590893089
2004,22805248549,22805272892,15023391432.749775,15115018309.965069,0.6627868263522108
2005,24817167718,24817225033,16054808349.30302,15994475685.364855,0.6444923879756026
2006,26769145674,26769095206,17302864823.17184,17172720025.271856,0.6415116953826121
2007,0,NA,NA,NA,NA
2008,0,NA,NA,NA,NA
2009,0,NA,NA,NA,NA
2010,0,NA,NA,NA,NA
2011,0,NA,NA,NA,NA
2012,30082175000,30082172519,19732012866.645203,19777006926.739395,0.6574327463602414
2013,30440110000,30440092899,20480019250.74424,20481086331.17824,0.6728322049814617
2014,32470048000,32469998612,21430159469.94152,21334403571.635914,0.6570487229226121
2015,34535740000,34535733752,22534926321.376785,22153046419.73189,0.6414527796344277
2016,35757238000,35757271822,24269939379.40565,23380479888.72586,0.6538670545170704
2017,38089138000,38089112378,24769165949.4678,23947529060.259724,0.6287233137242362
2018,39224000000,39223895532,25813422593.274437,24826142394.951324,0.6329324493919877
