ID,Year,Bracket_min,Bracket_max,Num_returns,AGI_mill_USD,AGI_thous_USD,AGI_USD,AGI_USD_all,AGI_bin_mean
1,2018,0,10000,44712,286,0,0,286000000,6396
2,2018,10000,20000,67062,1001,0,0,1001000000,14926
3,2018,20000,30000,68978,1724,0,0,1724000000,24993
4,2018,30000,40000,64814,2261,0,0,2261000000,34884
5,2018,40000,50000,53255,2387,0,0,2387000000,44822
6,2018,50000,75000,85149,5211,0,0,5211000000,61199
7,2018,75000,100000,51503,4463,0,0,4463000000,86655
8,2018,100000,150000,54982,6659,0,0,6659000000,121112
9,2018,150000,200000,22253,3813,0,0,3813000000,171348
10,2018,200000,300000,13462,3202,0,0,3202000000,237855
11,2018,300000,400000,4178,1433,0,0,1433000000,342987
12,2018,400000,Inf,5884,6784,0,0,6784000000,1152957
13,2017,0,5000,13845,0,49920,0,49920000,3606
14,2017,5000,10000,33675,0,254678,0,254678000,7563
15,2017,10000,20000,69516,0,1039008,0,1039008000,14946
16,2017,20000,30000,70491,0,1761098,0,1761098000,24983
17,2017,30000,40000,64230,0,2239710,0,2239710000,34870
18,2017,40000,50000,51741,0,2320183,0,2320183000,44842
19,2017,50000,75000,83013,0,5079581,0,5079581000,61190
20,2017,75000,100000,50551,0,4381584,0,4381584000,86677
21,2017,100000,150000,52479,0,6350304,0,6350304000,121007
22,2017,150000,200000,20695,0,3545629,0,3545629000,171328
23,2017,200000,300000,12297,0,2924795,0,2924795000,237846
24,2017,300000,Inf,9328,0,8142648,0,8142648000,872925
25,2016,0,5000,13845,0,52040,0,52040000,3759
26,2016,5000,10000,33675,0,264573,0,264573000,7857
27,2016,10000,20000,69516,0,1072885,0,1072885000,15434
28,2016,20000,30000,70491,0,1762017,0,1762017000,24996
29,2016,30000,40000,64230,0,2223517,0,2223517000,34618
30,2016,40000,50000,51741,0,2292948,0,2292948000,44316
31,2016,50000,75000,83013,0,4864493,0,4864493000,58599
32,2016,75000,100000,50551,0,4262031,0,4262031000,84312
33,2016,100000,150000,52479,0,6078947,0,6078947000,115836
34,2016,150000,200000,20695,0,3309822,0,3309822000,159933
35,2016,200000,300000,12297,0,2623510,0,2623510000,213346
36,2016,300000,Inf,9328,0,6950455,0,6950455000,745117
37,2015,0,5000,14952,0,53466,0,53466000,3576
38,2015,5000,10000,36193,0,273916,0,273916000,7568
39,2015,10000,20000,74249,0,1110867,0,1110867000,14961
40,2015,20000,30000,71914,0,1793431,0,1793431000,24939
41,2015,30000,40000,62582,0,2180417,0,2180417000,34841
42,2015,40000,50000,49474,0,2213940,0,2213940000,44750
43,2015,50000,75000,76488,0,4681686,0,4681686000,61208
44,2015,75000,100000,47833,0,4142354,0,4142354000,86600
45,2015,100000,150000,48601,0,5875716,0,5875716000,120897
46,2015,150000,200000,18142,0,3101612,0,3101612000,170963
47,2015,200000,300000,10454,0,2485462,0,2485462000,237752
48,2015,300000,Inf,7774,0,6622873,0,6622873000,851926
49,2014,0,5000,15731,0,56433,0,56433000,3587
50,2014,5000,10000,36852,0,278687,0,278687000,7562
51,2014,10000,20000,76440,0,1145243,0,1145243000,14982
